Headquarter,Size,Founded,Type,Industry,Revenue,Employer,Job_Title,Basic_Pay,Additional_Pay,Avg_Pay,Avg_Pay_Num,Avg_Pay_Text,Max_Pay,Min_Pay,Rating,Positive,Negative,Neutral,Online,Campus,Refferal,City
"Luxembourg, Luxembourg",10000+ Employees,2019,Company - Public,Staffing & Outsourcing,Unknown / Non-Applicable,Majorel,Majorel Data Scientist Monthly Pay in Bangalore Area,"₹ 90,775 - ₹ 1,31,406",NA,NA,"₹90,775-₹1,31,406","Data Scientist salaries at Majorel can range from ₹90,775-₹1,31,406",NA,NA,3.4,68%,12%,19%,68%,15%,7%,Banglore
"Boston, MA",10000+ Employees,1892,Company - Public (GE),Industrial Manufacturing,$10+ billion (USD),GE,GE Data Scientist Salaries in Bangalore Area,"₹ 9,54,022 - ₹ 11,68,388",NA,NA,"₹9,54,022-₹11,68,388","Data Scientist salaries at GE can range from ₹9,54,022-₹11,68,388",NA,NA,3.9,70%,10%,21%,48%,25%,10%,Banglore
"Bangalore, India",1 to 50 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Sumyag,Sumyag Data Scientist Salaries in Bangalore Area,"₹ 3,34,616 - ₹ 3,61,848","₹ 2,25,058",NA,"₹3,34,616-₹3,61,848","Data Scientist salaries at Sumyag can range from ₹3,34,616-₹3,61,848",NA,NA,4.5,NA,NA,NA,NA,NA,NA,Banglore
"Hanover, MD",1001 to 5000 Employees,1983,Subsidiary or Business Segment,Staffing & Outsourcing,$2 to $5 billion (USD),TEKsystems,TEKsystems Data Scientist Salaries in Bangalore Area,"₹ 10,52,128 - ₹ 20,72,582",NA,NA,"₹10,52,128-₹20,72,582","Data Scientist salaries at TEKsystems can range from ₹10,52,128-₹20,72,582",NA,NA,4.2,57%,23%,20%,30%,27%,15%,Banglore
"Piscataway, NJ",1001 to 5000 Employees,1996,Company - Private,IT Services,$100 to $500 million (USD),Marlabs,Data Scientist Salaries in [location],No salaries reported.,NA,No salaries reported.,NA,NA,NA,NA,3.9,55%,15%,29%,40%,26%,11%,Banglore
"Mumbai, India",1001 to 5000 Employees,2015,Company - Private,Colleges & Universities,$10 to $25 million (USD),upGrad,upGrad Data Scientist Salaries in Bangalore Area,"₹ 12,12,671 - ₹ 26,75,285",NA,NA,"₹12,12,671-₹26,75,285","Data Scientist salaries at upGrad can range from ₹12,12,671-₹26,75,285",NA,NA,3.2,57%,28%,15%,43%,22%,18%,Banglore
"Iselin, NJ",51 to 200 Employees,2015,Company - Private,Consulting,$5 to $10 million (USD),Analytical Wizards,Analytical Wizards Data Scientist Salaries in Bangalore Area,"₹ 2,99,586 - ₹ 8,09,633",NA,NA,"₹2,99,586-₹8,09,633","Data Scientist salaries at Analytical Wizards can range from ₹2,99,586-₹8,09,633",NA,NA,4.8,NA,NA,NA,NA,NA,NA,Banglore
"San Jose, CA",51 to 200 Employees,2018,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Hypersonix (CA),Hypersonix (CA) Data Scientist Salaries in Bangalore Area,"₹ 24,78,528 - ₹ 36,70,030",NA,NA,"₹24,78,528-₹36,70,030","Data Scientist salaries at Hypersonix (CA) can range from ₹24,78,528-₹36,70,030",NA,NA,3.5,100%,50%,50%,,,,Banglore
"Amstelveen, Netherlands",10000+ Employees,1987,Company - Private,Consulting,$1 to $2 billion (USD),KPMG,KPMG Data Scientist Salaries in Bangalore Area,"₹ 7,74,392 - ₹ 9,39,072","₹ 3,81,582",NA,"₹7,74,392-₹9,39,072","Data Scientist salaries at KPMG can range from ₹7,74,392-₹9,39,072",NA,NA,3.8,71%,10%,19%,48%,28%,10%,Banglore
"Chākan, India",1001 to 5000 Employees,1996,Company - Private,IT Services,$100 to $500 million (USD),Mercedes-Benz Research and Development India,Mercedes-Benz Research and Development India Data Scientist Salaries in Bangalore Area,"₹ 10,86,083 - ₹ 15,51,829",NA,NA,"₹10,86,083-₹15,51,829","Data Scientist salaries at Mercedes-Benz Research and Development India can range from ₹10,86,083-₹15,51,829",NA,NA,3.6,58%,27%,16%,32%,20%,15%,Banglore
"Bangalore, India",10000+ Employees,1911,Company - Public (IBM),IT Services,$10+ billion (USD),IBM,IBM Data Scientist Salaries in Bangalore Area,"₹ 1,91,788 - ₹ 4,93,868",NA,NA,"₹1,91,788-₹4,93,868","Data Scientist salaries at IBM can range from ₹1,91,788-₹4,93,868",NA,NA,3.9,69%,12%,19%,43%,22%,14%,Banglore
"Bangalore, India",1001 to 5000 Employees,2001,Company - Private,Computer Hardware & Software,$5 to $10 million (USD),Molecular Connections,Molecular Connections Data Scientist Monthly Pay in Bangalore Area,"₹ 35,892 - ₹ 48,000",NA,NA,"₹35,892-₹48,000","Data Scientist salaries at Molecular Connections can range from ₹35,892-₹48,000",NA,NA,3.5,35%,32%,32%,48%,14%,14%,Banglore
"Santa Clara, CA",5001 to 10000 Employees,2002,Company - Public,Enterprise Software & Network Solutions,$2 to $5 billion (USD),Aruba Networks,Aruba Networks Data Scientist Salaries in Bangalore Area,"₹ 13,94,357 - ₹ 15,77,431",NA,NA,"₹13,94,357-₹15,77,431","Data Scientist salaries at Aruba Networks can range from ₹13,94,357-₹15,77,431",NA,NA,4.1,54%,36%,10%,30%,21%,20%,Banglore
"Hyderābād, India",201 to 500 Employees,2006,Company - Private,Internet,Unknown / Non-Applicable,Head Digital Works,Head Digital Works Data Scientist Salaries in Bangalore Area,"₹ 11,86,546 - ₹ 14,87,530",NA,NA,"₹11,86,546-₹14,87,530","Data Scientist salaries at Head Digital Works can range from ₹11,86,546-₹14,87,530",NA,NA,4.5,57%,43%,54%,23%,8%,,Banglore
"Jefferson City, MO",1 to 50 Employees,1947,Company - Private,Telecommunications Services,Unknown / Non-Applicable,TCS,TCS Data Scientist Salaries in Bangalore Area,"₹ 9,42,030 - ₹ 16,77,461",NA,NA,"₹9,42,030-₹16,77,461","Data Scientist salaries at TCS can range from ₹9,42,030-₹16,77,461",NA,NA,4,72%,9%,19%,49%,33%,5%,Banglore
"New York, NY",51 to 200 Employees,2010,Company - Private,Healthcare Services & Hospitals,$10 to $25 million (USD),Prognos Health,Prognos Health Data Scientist Monthly Pay in Bangalore Area,"₹ 1,19,925 - ₹ 1,40,460","₹ 5,170",NA,"₹1,19,925-₹1,40,460","Data Scientist salaries at Prognos Health can range from ₹1,19,925-₹1,40,460",NA,NA,3.3,50%,50%,100%,,,,Banglore
"London, United Kingdom",10000+ Employees,1872,Company - Public (ULVR:LN),Consumer Products Manufacturing,$10+ billion (USD),Unilever,Unilever Data Scientist Salaries in Bangalore Area,"₹ 11,64,606 - ₹ 22,03,047",NA,NA,"₹11,64,606-₹22,03,047","Data Scientist salaries at Unilever can range from ₹11,64,606-₹22,03,047",NA,NA,4.2,64%,12%,23%,70%,13%,5%,Banglore
"Blue Bell, PA",10000+ Employees,1886,Company - Public (UIS),IT Services,$2 to $5 billion (USD),Unisys,Unisys Data Scientist Salaries in Bangalore Area,"₹ 4,25,772 - ₹ 17,67,218",NA,NA,"₹4,25,772-₹17,67,218","Data Scientist salaries at Unisys can range from ₹4,25,772-₹17,67,218",NA,NA,3.6,67%,16%,17%,27%,21%,18%,Banglore
"Santa Clara, CA",501 to 1000 Employees,2011,Company - Private,Consulting,$10 to $25 million (USD),Tiger Analytics,Tiger Analytics Data Scientist Salaries in Bangalore Area,"₹ 3,95,697 - ₹ 8,54,210","₹ 71,628",NA,"₹3,95,697-₹8,54,210","Data Scientist salaries at Tiger Analytics can range from ₹3,95,697-₹8,54,210",NA,NA,4.4,54%,40%,6%,44%,27%,13%,Banglore
"Chicago, IL",5001 to 10000 Employees,1892,Subsidiary or Business Segment,Healthcare Services & Hospitals,$10+ billion (USD),GE Healthcare,Data Scientist Salaries in [location],No salaries reported.,NA,No salaries reported.,NA,NA,NA,NA,4,65%,17%,18%,43%,18%,15%,Banglore
"Bangalore, India",1 to 50 Employees,2018,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Terra Economics and Analytics Lab,Terra Economics and Analytics Lab Data Scientist Salaries in Bangalore Area,"₹ 5,70,438 - ₹ 9,35,363","₹ 90,000",NA,"₹5,70,438-₹9,35,363","Data Scientist salaries at Terra Economics and Analytics Lab can range from ₹5,70,438-₹9,35,363",NA,NA,4.9,NA,NA,NA,NA,NA,NA,Banglore
"Bangalore, India",51 to 200 Employees,2012,Company - Private,IT Services,$2 to $5 billion (USD),Data Semantics,Data Semantics Data Scientist Salaries in Bangalore Area,"₹ 3,40,380 - ₹ 23,04,558",NA,NA,"₹3,40,380-₹23,04,558","Data Scientist salaries at Data Semantics can range from ₹3,40,380-₹23,04,558",NA,NA,3.8,44%,56%,38%,25%,25%,,Banglore
"San Jose, CA",501 to 1000 Employees,2004,Company - Private,IT Services,$50 to $100 million (USD),Netenrich Inc.,Netenrich Inc. Data Scientist Salaries in Bangalore Area,"₹ 9,78,013 - ₹ 13,14,442",NA,NA,,Data Scientist salaries at Netenrich Inc,NA,NA,3.9,53%,38%,9%,24%,24%,17%,Banglore
"Bangalore, India",51 to 200 Employees,2018,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,SalesKen,SalesKen Data Scientist Salaries in Bangalore Area,"₹ 7,81,961 - ₹ 12,64,780",NA,NA,"₹7,81,961-₹12,64,780","Data Scientist salaries at SalesKen can range from ₹7,81,961-₹12,64,780",NA,NA,4.2,13%,63%,25%,71%,14%,14%,Banglore
"Berlin, Germany",51 to 200 Employees,2014,Company - Private,Internet,Unknown / Non-Applicable,Zeotap,Zeotap Data Scientist Salaries in Bangalore Area,"₹ 7,78,845 - ₹ 9,96,779",NA,NA,"₹7,78,845-₹9,96,779","Data Scientist salaries at Zeotap can range from ₹7,78,845-₹9,96,779",NA,NA,3.9,33%,33%,33%,70%,10%,10%,Banglore
"Mumbai, India",201 to 500 Employees,2009,Company - Private,Consulting,Unknown / Non-Applicable,Cartesian Consulting,Cartesian Consulting Data Scientist Salaries in Bangalore Area,"₹ 8,11,350 - ₹ 10,53,821","₹ 73,690",NA,"₹8,11,350-₹10,53,821","Data Scientist salaries at Cartesian Consulting can range from ₹8,11,350-₹10,53,821",NA,NA,3.1,67%,17%,17%,65%,24%,6%,Banglore
"Bangalore, India",1001 to 5000 Employees,1986,Company - Public (SONATA),IT Services,$100 to $500 million (USD),Sonata Software,Sonata Software Data Scientist Salaries in Bangalore Area,"₹ 3,91,490 - ₹ 8,51,346","₹ 20,000",NA,"₹3,91,490-₹8,51,346","Data Scientist salaries at Sonata Software can range from ₹3,91,490-₹8,51,346",NA,NA,3.7,64%,20%,16%,46%,16%,12%,Banglore
"Chicago, IL",10000+ Employees,1916,Company - Public (BA),Aerospace & Defence,$10+ billion (USD),Boeing,Boeing Data Scientist Salaries in Bangalore Area,"₹ 19,81,670 - ₹ 24,71,494","₹ 2,30,829",NA,"₹19,81,670-₹24,71,494","Data Scientist salaries at Boeing can range from ₹19,81,670-₹24,71,494",NA,NA,3.8,67%,11%,22%,61%,18%,6%,Banglore
"Mountain View, CA",1 to 50 Employees,2015,Company - Public,Unknown / Non-Applicable,$1 to $5 million (USD),FOKAL,FOKAL Data Scientist Salaries in Bangalore Area,"₹ 4,81,634 - ₹ 16,92,383",NA,NA,"₹4,81,634-₹16,92,383","Data Scientist salaries at FOKAL can range from ₹4,81,634-₹16,92,383",NA,NA,4.3,100%,100%,,,,,Banglore
"Deerfield, IL",10000+ Employees,1925,Company - Public (CAT),Industrial Manufacturing,$10+ billion (USD),Caterpillar,Caterpillar Data Scientist Salaries in Bangalore Area,"₹ 8,58,581 - ₹ 15,48,581",NA,NA,"₹8,58,581-₹15,48,581","Data Scientist salaries at Caterpillar can range from ₹8,58,581-₹15,48,581",NA,NA,3.9,71%,8%,21%,36%,34%,8%,Banglore
"Copenhagen, Denmark",10000+ Employees,1928,Subsidiary or Business Segment,Shipping,$10+ billion (USD),MAERSK,MAERSK Data Scientist Salaries in Bangalore Area,"₹ 16,34,173 - ₹ 25,93,450",NA,NA,"₹16,34,173-₹25,93,450","Data Scientist salaries at MAERSK can range from ₹16,34,173-₹25,93,450",NA,NA,4,61%,20%,19%,56%,11%,10%,Banglore
"Kansas City, MO",10000+ Employees,1979,Company - Public (CERN),Computer Hardware & Software,$5 to $10 billion (USD),Cerner,Cerner Data Scientist Salaries in Bangalore Area,"₹ 6,62,738 - ₹ 21,25,700",NA,NA,"₹6,62,738-₹21,25,700","Data Scientist salaries at Cerner can range from ₹6,62,738-₹21,25,700",NA,NA,3.8,77%,9%,14%,47%,21%,15%,Banglore
"Gurgaon, India",1001 to 5000 Employees,1999,Company - Private,IT Services,$50 to $100 million (USD),Comviva,Comviva Data Scientist Monthly Pay in Bangalore Area,"₹ 14,279 - ₹ 1,20,170",NA,NA,"₹14,279-₹1,20,170","Data Scientist salaries at Comviva can range from ₹14,279-₹1,20,170",NA,NA,3.5,67%,15%,18%,65%,10%,9%,Banglore
"Redmond, WA",10000+ Employees,1975,Company - Public (MSFT),Computer Hardware & Software,$10+ billion (USD),Microsoft,Microsoft Data Scientist Salaries in Bangalore Area,"₹ 9,31,774 - ₹ 10,24,480",NA,NA,"₹9,31,774-₹10,24,480","Data Scientist salaries at Microsoft can range from ₹9,31,774-₹10,24,480",NA,NA,4.4,66%,13%,21%,33%,30%,15%,Banglore
"Bangalore, India",51 to 200 Employees,2015,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Locus,Locus Data Scientist Salaries in Bangalore Area,"₹ 21,31,734 - ₹ 27,29,517",NA,NA,"₹21,31,734-₹27,29,517","Data Scientist salaries at Locus can range from ₹21,31,734-₹27,29,517",NA,NA,4.5,38%,51%,11%,55%,21%,18%,Banglore
"Houston, TX",10000+ Employees,1926,Company - Public (SLB),Oil & Gas Services,$10+ billion (USD),Schlumberger,Schlumberger Data Scientist Salaries in Bangalore Area,"₹ 10,29,907 - ₹ 11,03,384",NA,NA,"₹10,29,907-₹11,03,384","Data Scientist salaries at Schlumberger can range from ₹10,29,907-₹11,03,384",NA,NA,3.7,73%,9%,17%,51%,26%,10%,Banglore
"Noida, India",1001 to 5000 Employees,2006,Company - Private,Internet,Unknown / Non-Applicable,MagicBricks,MagicBricks Data Scientist Salaries in Bangalore Area,"₹ 16,00,685 - ₹ 17,36,712","₹ 1,65,312",NA,"₹16,00,685-₹17,36,712","Data Scientist salaries at MagicBricks can range from ₹16,00,685-₹17,36,712",NA,NA,4.2,49%,41%,10%,35%,18%,18%,Banglore
"Bangalore, India",1 to 50 Employees,null,Company - Private,Internet,Unknown / Non-Applicable,Alackrity Consols,Alackrity Consols Data Scientist Salaries in Bangalore Area,"₹ 3,78,038 - ₹ 4,08,464",NA,NA,"₹3,78,038-₹4,08,464","Data Scientist salaries at Alackrity Consols can range from ₹3,78,038-₹4,08,464",NA,NA,3.7,NA,NA,NA,NA,NA,NA,Banglore
"New Delhi, India",5001 to 10000 Employees,1958,Government,Government Agencies,$1 to $2 billion (USD),Defence Research & Development Organisation,Defence Research & Development Organisation Data Scientist Salaries,"₹ 1,49,615 - ₹ 5,43,760",NA,NA,"₹1,49,615-₹5,43,760","Data Scientist salaries at Defence Research & Development Organisation can range from ₹1,49,615-₹5,43,760",NA,NA,4.3,77%,3%,19%,42%,25%,11%,Banglore
"Charlotte, NC",10000+ Employees,1885,Company - Public (HON),Computer Hardware & Software,$10+ billion (USD),Honeywell,Honeywell Data Scientist Salaries,"₹ 8,25,024 - ₹ 8,80,544",NA,NA,"₹8,25,024-₹8,80,544","Data Scientist salaries at Honeywell can range from ₹8,25,024-₹8,80,544",NA,NA,3.7,64%,16%,20%,39%,21%,13%,Banglore
"Gurgaon, India",1001 to 5000 Employees,2000,Company - Public (MMYT),Internet,$100 to $500 million (USD),MakeMyTrip,MakeMyTrip Data Scientist Salaries,"₹ 13,93,158",NA,"₹ 13,93,158","₹13,93,158","The typical MakeMyTrip Data Scientist salary is ₹13,93,158","₹3,102K",₹879K,4.3,49%,38%,13%,24%,22%,20%,Banglore
"Chicago, IL",1001 to 5000 Employees,1999,Company - Public,Computer Hardware & Software,$100 to $500 million (USD),Yodlee,Yodlee Data Scientist Salaries,"₹ 4,47,153 - ₹ 4,80,019",NA,NA,"₹4,47,153-₹4,80,019","Data Scientist salaries at Yodlee can range from ₹4,47,153-₹4,80,019",NA,NA,3.6,59%,24%,16%,38%,18%,16%,Banglore
"Singapore, Singapore",201 to 500 Employees,2005,Company - Private,Internet,Unknown / Non-Applicable,Affle,Affle Data Scientist Salaries,"₹ 8,67,799 - ₹ 9,48,740","₹ 20,272",NA,"₹8,67,799-₹9,48,740","Data Scientist salaries at Affle can range from ₹8,67,799-₹9,48,740",NA,NA,4,35%,41%,24%,50%,21%,14%,Banglore
"New Delhi, India",1 to 50 Employees,null,Company - Private,Insurance Operators,Unknown / Non-Applicable,HDFC Standard Life,HDFC Standard Life Data Scientist Salaries in Bangalore Area,"₹ 7,84,983 - ₹ 8,48,506",NA,NA,"₹7,84,983-₹8,48,506","Data Scientist salaries at HDFC Standard Life can range from ₹7,84,983-₹8,48,506",NA,NA,4,43%,14%,43%,43%,29%,14%,Banglore
"Harrison, OH",51 to 200 Employees,1995,Company - Private,Staffing & Outsourcing,Unknown / Non-Applicable,K & K Technical Group,K & K Technical Group Data Scientist Salaries in Bangalore Area,"₹ 1,99,172 - ₹ 2,17,298",NA,NA,"₹1,99,172-₹2,17,298","Data Scientist salaries at K & K Technical Group can range from ₹1,99,172-₹2,17,298",NA,NA,3.6,100%,100%,,,,,Banglore
"Irving, TX",10000+ Employees,1870,Company - Public (XOM),Energy,$10+ billion (USD),ExxonMobil,ExxonMobil Data Scientist Salaries in Bangalore Area,"₹ 26,84,704 - ₹ 28,96,556",NA,NA,"₹26,84,704-₹28,96,556","Data Scientist salaries at ExxonMobil can range from ₹26,84,704-₹28,96,556",NA,NA,3.4,73%,7%,20%,46%,36%,6%,Banglore
"Teaneck, NJ",10000+ Employees,1994,Company - Public (CTSH),Consulting,$10+ billion (USD),Cognizant Technology Solutions,Cognizant Technology Solutions Data Scientist Salaries,"₹ 3,85,584 - ₹ 4,39,949",NA,NA,"₹3,85,584-₹4,39,949","Data Scientist salaries at Cognizant Technology Solutions can range from ₹3,85,584-₹4,39,949",NA,NA,3.7,73%,13%,14%,43%,23%,10%,Banglore
"Kuala Lumpur, Malaysia",10000+ Employees,null,Company - Public (MAYBANK),Banks & Building Societies,$10+ billion (USD),Maybank,Maybank Data Scientist Salaries in Bangalore Area,"₹ 6,39,131 - ₹ 6,90,912",NA,NA,"₹6,39,131-₹6,90,912","Data Scientist salaries at Maybank can range from ₹6,39,131-₹6,90,912",NA,NA,3.7,60%,17%,23%,48%,16%,15%,Banglore
"Pune, India",51 to 200 Employees,2007,Company - Private,IT Services,Unknown / Non-Applicable,Raja Software Labs,Raja Software Labs Data Scientist Salaries in Bangalore Area,"₹ 5,01,712 - ₹ 5,47,668",NA,NA,"₹5,01,712-₹5,47,668","Data Scientist salaries at Raja Software Labs can range from ₹5,01,712-₹5,47,668",NA,NA,3.9,54%,25%,21%,38%,35%,6%,Banglore
"Dublin, Ireland",10000+ Employees,1989,Company - Public (ACN),Consulting,$10+ billion (USD),Accenture,Accenture Data Scientist Salaries in Bangalore Area,"₹ 8,58,294","₹ 2,02,716","₹ 8,67,282","₹8,58,294","The typical Accenture Data Scientist salary is ₹8,58,294","₹3,000K",₹420K,4,70%,13%,17%,37%,29%,12%,Banglore
"Paris, France",10000+ Employees,1864,Company - Public (GLE),Investment Banking & Asset Management,$10+ billion (USD),Société Générale,Société Générale Data Scientist Salaries in Bangalore Area,"₹ 17,18,752","₹ 1,26,015","₹ 18,49,059","₹17,18,752","The typical Société Générale Data Scientist salary is ₹17,18,752","₹1,913K","₹1,413K",3.7,62%,17%,21%,42%,21%,11%,Banglore
"Bangalore, India",1 to 50 Employees,2018,Unknown,IT Services,Unknown / Non-Applicable,Yottaasys,Yottaasys Data Scientist Salaries in Bangalore Area,"₹ 13,87,064 - ₹ 15,09,689",NA,NA,"₹13,87,064-₹15,09,689","Data Scientist salaries at Yottaasys can range from ₹13,87,064-₹15,09,689",NA,NA,3.6,NA,NA,NA,NA,NA,NA,Banglore
"Minnetonka, MN",10000+ Employees,null,Company - Public,Healthcare Services & Hospitals,Unknown / Non-Applicable,UnitedHealthCare,UnitedHealthCare Data Scientist Salaries in Bangalore Area,"₹ 7,66,824 - ₹ 8,38,328",NA,NA,"₹7,66,824-₹8,38,328","Data Scientist salaries at UnitedHealthCare can range from ₹7,66,824-₹8,38,328",NA,NA,3.6,69%,13%,18%,68%,13%,10%,Banglore
"Tysons Corner, VA",1 to 50 Employees,null,Company - Public,Unknown / Non-Applicable,$1 to $5 million (USD),Alfonso & Associates Consulting,Alfonso & Associates Consulting Data Scientist Salaries in Bangalore Area,"₹ 33,14,512 - ₹ 35,66,157",NA,NA,"₹33,14,512-₹35,66,157","Data Scientist salaries at Alfonso & Associates Consulting can range from ₹33,14,512-₹35,66,157",NA,NA,4.2,100%,100%,,,,,Banglore
"Minnetonka, MN",10000+ Employees,null,Company - Public,Healthcare Services & Hospitals,Unknown / Non-Applicable,UnitedHealthCare,UnitedHealthCare Data Scientist Salaries in Bangalore Area,"₹ 7,75,584 - ₹ 8,33,680",NA,NA,"₹7,75,584-₹8,33,680","Data Scientist salaries at UnitedHealthCare can range from ₹7,75,584-₹8,33,680",NA,NA,3.6,69%,13%,18%,68%,13%,10%,Banglore
"Tysons Corner, VA",1 to 50 Employees,null,Company - Public,Unknown / Non-Applicable,$1 to $5 million (USD),Alfonso & Associates Consulting,Alfonso & Associates Consulting Data Scientist Salaries in Bangalore Area,"₹ 33,38,290 - ₹ 35,61,015",NA,NA,"₹33,38,290-₹35,61,015","Data Scientist salaries at Alfonso & Associates Consulting can range from ₹33,38,290-₹35,61,015",NA,NA,4.2,100%,100%,,,,,Banglore
"San Francisco, CA",201 to 500 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Postman,Postman Data Scientist Salaries,"₹ 11,48,440 - ₹ 14,88,380",NA,NA,"₹11,48,440-₹14,88,380","Data Scientist salaries at Postman can range from ₹11,48,440-₹14,88,380",NA,NA,4.4,44%,39%,17%,64%,16%,8%,Banglore
"João Pessoa, Brazil",51 to 200 Employees,2000,Company - Private,IT Services,Unknown / Non-Applicable,Vsoft,Vsoft Data Scientist Salaries in Bangalore Area,"₹ 4,36,338 - ₹ 4,71,578",NA,NA,"₹4,36,338-₹4,71,578","Data Scientist salaries at Vsoft can range from ₹4,36,338-₹4,71,578",NA,NA,4.4,100%,100%,,,,,Banglore
"Amstelveen, Netherlands",10000+ Employees,1987,Company - Private,Consulting,$1 to $2 billion (USD),KPMG,KPMG Data Scientist Salaries in Bangalore Area,"₹ 2,14,693 - ₹ 2,32,755",NA,NA,"₹2,14,693-₹2,32,755","Data Scientist salaries at KPMG can range from ₹2,14,693-₹2,32,755",NA,NA,3.8,71%,10%,19%,48%,28%,10%,Banglore
"Eindhoven, Netherlands",10000+ Employees,1891,Company - Public (LIGHT),Consumer Products Manufacturing,$5 to $10 billion (USD),Signify,Signify Data Scientist Salaries in Bangalore Area,"₹ 9,43,553 - ₹ 10,28,049","₹ 1,64,904",NA,"₹9,43,553-₹10,28,049","Data Scientist salaries at Signify can range from ₹9,43,553-₹10,28,049",NA,NA,3.6,74%,15%,11%,61%,15%,13%,Banglore
"Bangalore, India",51 to 200 Employees,2017,Company - Private,IT Services,Unknown / Non-Applicable,dhiOmics Analytics Solutions,dhiOmics Analytics Solutions Data Scientist Salaries in Bangalore Area,"₹ 3,06,333 - ₹ 3,31,229",NA,NA,"₹3,06,333-₹3,31,229","Data Scientist salaries at dhiOmics Analytics Solutions can range from ₹3,06,333-₹3,31,229",NA,NA,4.6,92%,8%,67%,25%,8%,,Banglore
"Atlanta, GA",501 to 1000 Employees,2009,Company - Private,Lending,$100 to $500 million (USD),Kabbage,Kabbage Data Scientist Salaries,"₹ 3,77,833 - ₹ 4,10,523",NA,NA,"₹3,77,833-₹4,10,523","Data Scientist salaries at Kabbage can range from ₹3,77,833-₹4,10,523",NA,NA,3.8,76%,17%,6%,38%,33%,16%,Banglore
"Chicago, IL",1 to 50 Employees,null,Company - Private,IT Services,Unknown / Non-Applicable,Acies,Acies Data Scientist Salaries in Bangalore Area,"₹ 3,90,326 - ₹ 4,19,318",NA,NA,"₹3,90,326-₹4,19,318","Data Scientist salaries at Acies can range from ₹3,90,326-₹4,19,318",NA,NA,4.1,69%,15%,15%,67%,25%,8%,Banglore
"Raleigh, NC",1 to 50 Employees,2008,Company - Private,Computer Hardware & Software,$1 to $5 million (USD),dataZen Engineering,dataZen Engineering Data Scientist Monthly Pay in Bangalore Area,"₹ 14,291 - ₹ 15,523",NA,NA,"₹14,291-₹15,523","Data Scientist salaries at dataZen Engineering can range from ₹14,291-₹15,523",NA,NA,4.3,100%,100%,,,,,Banglore
"Bangalore, India",1 to 50 Employees,2015,Company - Private,IT Services,Unknown / Non-Applicable,Loyalytics Consulting,Loyalytics Consulting Data Scientist Salaries in Bangalore Area,"₹ 8,08,849 - ₹ 8,70,108",NA,NA,"₹8,08,849-₹8,70,108","Data Scientist salaries at Loyalytics Consulting can range from ₹8,08,849-₹8,70,108",NA,NA,3.8,NA,NA,NA,NA,NA,NA,Banglore
"Bangalore, India",51 to 200 Employees,2011,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,Trinity Mobility,Trinity Mobility Data Scientist Salaries in Bangalore Area,"₹ 5,91,765 - ₹ 6,45,712",NA,NA,"₹5,91,765-₹6,45,712","Data Scientist salaries at Trinity Mobility can range from ₹5,91,765-₹6,45,712",NA,NA,4,73%,20%,7%,33%,27%,13%,Banglore
"Las Vegas, NV",201 to 500 Employees,1998,Company - Private,Lending,$25 to $50 million (USD),Dollar Loan Center,Dollar Loan Center Data Scientist Salaries in Bangalore Area,"₹ 9,54,160 - ₹ 10,33,600",NA,NA,"₹9,54,160-₹10,33,600","Data Scientist salaries at Dollar Loan Center can range from ₹9,54,160-₹10,33,600",NA,NA,3.6,75%,19%,6%,75%,19%,6%,Banglore
"Bangalore, India",1 to 50 Employees,null,Company - Private,IT Services,Unknown / Non-Applicable,Gradatim,Gradatim Data Scientist Salaries in Bangalore Area,"₹ 6,67,198 - ₹ 7,26,698",NA,NA,"₹6,67,198-₹7,26,698","Data Scientist salaries at Gradatim can range from ₹6,67,198-₹7,26,698",NA,NA,3.4,NA,NA,NA,NA,NA,NA,Banglore
"Mumbai, India",10000+ Employees,1843,Company - Public (SIE),Electrical & Electronic Manufacturing,$10+ billion (USD),Siemens,Siemens Data Scientist Salaries in Bangalore Area,"₹ 4,62,413 - ₹ 5,02,306",NA,NA,"₹4,62,413-₹5,02,306","Data Scientist salaries at Siemens can range from ₹4,62,413-₹5,02,306",NA,NA,4.1,67%,14%,19%,46%,20%,11%,Banglore
"Los Angeles, CA",1 to 50 Employees,null,Company - Private,Architectural & Engineering Services,Less than $1 million (USD),Losch Engineering,Losch Engineering Data Scientist Salaries in Bangalore Area,"₹ 11,48,399 - ₹ 12,30,572",NA,NA,"₹11,48,399-₹12,30,572","Data Scientist salaries at Losch Engineering can range from ₹11,48,399-₹12,30,572",NA,NA,5,NA,NA,NA,NA,NA,NA,Banglore
"Mumbai, India",1001 to 5000 Employees,1977,Company - Public (HDFC),Lending,$10+ billion (USD),Hdfc,Hdfc Data Scientist Monthly Pay,"₹ 13,587 - ₹ 1,12,873",NA,NA,"₹40,543","The typical Hdfc Data Scientist salary is ₹40,543",NA,NA,3.7,64%,8%,28%,54%,13%,11%,Banglore
